caseid,windows_cached,rows_used
17,308,308
19,348,348
22,199,199
25,227,227
26,92,92
29,308,308
34,160,160
38,130,130
52,208,208
60,217,217
68,93,93
70,158,158
83,274,274
94,345,345
97,225,225
104,187,187
111,259,259
118,287,287
125,276,276
130,242,242
136,216,216
137,56,56
138,101,101
143,174,174
145,148,148
156,136,136
157,110,110
164,266,266
175,135,135
180,106,106
186,75,75
189,216,216
195,181,181
202,440,440
210,277,277
217,232,232
218,75,75
234,220,220
236,195,195
237,335,335
241,409,409
263,107,107
282,113,113
286,171,171
293,171,171
296,147,147
306,275,275
308,293,293
318,126,126
343,170,170
345,311,311
358,145,145
363,196,196
364,100,100
369,228,228
380,91,91
382,284,284
383,87,87
385,64,64
388,210,210
390,334,334
405,101,101
409,36,36
418,196,196
440,169,169
441,181,181
442,122,122
448,226,226
449,78,78
452,71,71
455,73,73
468,257,257
472,373,373
485,165,165
486,200,200
492,351,351
505,89,89
507,118,118
512,181,181
516,140,140
526,144,144
530,170,170
533,235,235
544,152,152
545,36,36
564,260,260
566,245,245
582,172,172
584,251,251
599,280,280
624,161,161
629,458,458
631,298,298
634,218,218
638,235,235
641,43,43
654,88,88
655,163,163
691,273,273
711,270,270
722,209,209
725,287,287
734,269,269
741,453,453
742,214,214
749,74,74
751,228,228
768,93,93
772,182,182
773,120,120
777,293,293
779,273,273
781,70,70
792,104,104
794,149,149
814,290,290
819,161,161
822,255,255
831,152,152
843,349,349
848,136,136
860,96,96
866,172,172
870,179,179
872,253,253
885,132,132
886,312,312
907,108,108
917,168,168
931,53,53
933,59,59
936,178,178
937,236,236
946,95,95
947,204,204
958,132,132
963,314,314
969,38,38
972,182,182
976,224,224
980,537,537
986,196,196
1001,101,101
1004,279,279
1013,302,302
1025,326,326
1027,58,58
1029,276,276
1030,108,108
1032,115,115
1034,102,102
1035,208,208
1038,164,164
1041,88,88
1044,132,132
1051,146,146
1056,203,203
1061,229,229
1076,223,223
1078,145,145
1095,129,129
1097,136,136
1113,233,233
1123,203,203
1124,439,439
1132,412,412
1133,107,107
1165,238,238
1166,352,352
1185,183,183
1193,234,234
1194,318,318
1208,403,403
1213,152,152
1215,58,58
1219,154,154
1221,234,234
1225,93,93
1233,41,41
1237,72,72
1239,243,243
1249,195,195
1256,62,62
1267,179,179
1281,82,82
1286,229,229
1290,137,137
1301,56,56
1302,215,215
1303,129,129
1307,176,176
1321,153,153
